      1 Brooks, E.
      1 Brookshaw, David
      1 Brooks, J. Ronald
      2 Brooks, Nicholas P.
      3 Brooks, N.P.
      4 Brooks, P.N.
      1 Brook, Timothy
      1 Brophy, Kenneth E.
      2 Brotherstone, W.T.C.
      3 Brotherstone, W. Terry C.
      2 Broun, Dauvit
      4 Broun, Dauvit E.
      2 Brown, A.
      2 Brown, A.F.J.
      5 Brown, A.H.
      1 Brown, A.L.
      1 Brown, Alan
      1 Brown, Alison M.
      1 Brown, Andrew D.
      9 Brown, Angela
      1 Brown, Arthur F.J.
      1 Brown, B.
      4 Brown, C.
      1 Brown, C.A.
      3 Brown, Callum
      3 Brown, Callum G.
      1 Brown, C.P.H.
      1 Brown, David
      1 Brown, David E.
      2 Browne, E. Janet
      1 Brown, Ian
      3 Brown, Ian G.
      4 Brown, I.G.
      2 Browning, D.G.
      5 Browning, R.
      5 Brown, J.
      1 Brown, J.M.
      1 Brown, Judith
     12 Brown, Judith M.
      1 Brown, Julie
      1 Brown, K.
      3 Brown, K.D.
      4 Brown, Keith M.
      2 Brown, Kenneth D.
      1 Brown, Laurence
      1 Brown, Lucy M.
      1 Brown, Matthew
      2 Brown, Michael
      2 Brown, Michael H.
      1 Brown, Michelle P.
      1 Brown, N.G.
      1 Brown, P. R. L.
      1 Brown, P.R.L.
     10 Brown, R.
      1 Brown, R. A.
      4 Brown, R.A.
      1 Brown, R.G.
      1 Brown, Sarah
      1 Brown, Simon
      2 Brown, Stewart J.
      1 Brown, Thomas S.
      3 Brown, T.S.
      1 Brubaker, Leslie
      1 Bruce-Chwatt, L.J.
      1 Bruker, Jan
      1 Brunskill, Irene
      5 Brunton, Deborah
      4 Brunt, P. A.
      2 Brunt, P.A.
      1 Brus, W.
      2 Bryant, Margaret E.
      1 Brydon, Lynne
      1 Bryer, A. A. A.
      1 Bryer, A. A. M.
     20 Bryer, A.A.M.
      3 Bryer, Anthony A.M.
      1 Bryson, John A.
     10 Buchanan, R.A.
      1 Buchanan, R. Angus
      3 Buchanan, Tom
      1 Buckland, P.C.
      1 Buckland, P.J.
      2 Buckley, John
      1 Buckley, Libby
      1 Buckley, Richard
      1 Bueltmann, Tanja
      1 Buettner, Elizabeth
      1 Buettner, Elizabeth A.
      1 Bujic, Bojan
      6 Bull, H.
      2 Bull, Marcus G.
      3 Bullock, A.L.C.
      1 Bullock, Nicholas O.A.
      2 Bullock, N.O.A.
      1 Bullough, D. A.
     10 Bullough, D.A.
      1 Bulmer, M.I.A.
      1 Bundy, C.
      1 Bundy, C.J.
      1 Bunyan, A.M.
      3 Burchardt, Jeremy F.S.
      1 Burden, D. H.
      2 Burgess, Clive R.
      1 Burgess, Glenn
      1 Burgess, J.A.
      1 Burgess, K.R.
      3 Burgess, P. Glenn
      2 Burke, U.P.
     11 Burke, U. Peter
      1 Burk, Katherine M.
      7 Burk, Kathleen
      4 Burk, Kathleen M.
      1 Burleigh, Michael C.B.
      1 Burman, S.B.
      3 Burnard, Trevor
      1 Burnett, Charles
      1 Burnett, Charles S.F
      3 Burnett, Charles S.F.
      1 Burnett, C.S.F.
      2 Burnett, J.
      1 Burney, Ian
      3 Burney, Ian A.
      2 Burnham, P.C.
      5 Burns, Arthur
      1 Burns, D.T.
      3 Burns, H.
      1 Burns, J. H.
     12 Burns, J.H.
      3 Burrage, M.C.
      5 Burrell, R.M.
      3 Burrell, R. Michael
      1 Burroughs, P.
      2 Burrow, C.J.
      2 Burrow, John W.
      1 Burrow, J.W.
      7 Burrows, Simon F.
      3 Burton, G.P.
      1 Burton, J.
      1 Burton, Janet
      2 Burton, Janet E.
      1 Burton, J.W.
      1 Burton, Philip
      2 Burt, R.
      1 Burt, Roger
      6 Bury, J.P.T.
      1 Bush, Julia F.
      1 Bush, M. L.
      8 Bush, M.L.
      8 Butcher, A.F.
      8 Butcher, Andrew F.
      2 Butler, D.E.
      1 Butler, L.A.S.
      2 Butler, Lawrence J.
      4 Butler, L.H.
      2 Butlin, R.A.
      4 Butterfield, H.
      2 Butters, Humfrey C.
     25 Butt, J.
      1 Butt, R.
     21 Bynum, W.F.
      1 Bynum, William
      9 Bynum, William F.
      2 Byres, T.J.
      1 Byrne, D.
      1 Byrom, J.B.
      3 Bythell, D.
