      5 Martin, David E.
      5 Mango, C.
      5 MacRae, D.G.
      5 Macleod, Emma Vincent
      5 MacKenzie, John M.
      5 Mackenney, Richard S.
      5 Macinnes, A.I.
      5 Lucas, C.R.
      5 Lowe, Rodney
      5 Lowe, R.
      5 Levick, Barbara M.
      5 Lennon, Colm
      5 Lee, W. Robert
      5 Lee, W.R.
      5 Layton, D.
      5 Lawrence, Jon M.
      5 Latham, A.J.H.
      5 Lanfranchi, Pierre
      5 Körner, Axel
      5 Koenigsberger, H.G.
      5 Knight, D.M.
      5 Knecht, R.J.
      5 Kitson, M.W.L.
      5 Kirk-Greene, A.H.M.
      5 Kiernan, V.G.
      5 Kettle, Ann J.
      5 Kershaw, I.
      5 Kerr, David
      5 Kemp, Martin J.
      5 Keller, A.G.
      5 Jones, T.A.
      5 Jones, Sarah R. Rees
      5 Jones, Michael C.E.
      5 Jones, M.A.
      5 Jones, J. Gwynfor
      5 Jones, G.W.
      5 Johnston, Elva
      5 Jeffery, Keith J.
      5 James, Elizabeth A.
      5 Isserlin, B.S.J.
      5 Hutton, R.E.
      5 Hunt, Karen
      5 Hughes, A.
      5 Hufton, Olwen H.
      5 Hudson, G.F.
      5 Howard, I.K.A.
      5 Houlbrook, Matt
      5 Houlbrooke, R.A.
      5 Hopwood, D.
      5 Hinton, James S.
      5 Hinchliff, P.B.
      5 Hey, David G.
      5 Hennock, E.P.
      5 Heffernan, Michael J.
      5 Heesom, Alan J.
      5 Hastings, Adrian
      5 Harwood, Jonathan H.
      5 Harris, Ruth
      5 Harrison, R.M.
      5 Harris, Jonathan P.
      5 Hardiman, David
      5 Hannam, June B.
      5 Hall, Simon D.
      5 Gunn, Simon
      5 Gritt, Andrew
      5 Graves, Pam
      5 Grant, Alexander
      5 Gordon, P.
      5 Gordon, Eleanor
      5 Goldman, Lawrence
      5 Goldberg, Jeremy
      5 Gilbert, David
      5 Gatrell, Peter
      5 Garrison, Mary
      5 Garnsey, Peter D.A.
      5 Garnett, George S.
      5 Gandy, Matthew
      5 Fulford, M.G.
      5 Fuccaro, Nelida
